ID_Line,Name_Line,ShortName_Line,TransportMode,OperatorRef,OperatorName,NetworkName,ColourWeb_hexa,TextColourWeb_hexa,TextColourPrint_hexa,ID_GroupOfLines,ShortName_GroupOfLines,Picto
C00532,Express 307,EX307,bus,1036,Francilité Express Ouest,Lignes Île-de-France Ouest,3bb2ff,0,0,A00450,VELIZY-VILLACOUBLAY (CENTRE COMMERCIAL DE VELIZY 2)  - MONTIGNY-LE-BRETONNEUX (ST QUENTIN GARE),https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C00473,95-19,95-19,bus,30,Cars Lacroix,Valoise,008b45,ffffff,ffffff,A00412,ARGENTEUIL (Gare)  - ERMONT - MONTIGNY-LES-CORMEILLES - CERGY (Préfecture),https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C01167,141,141,bus,100,RATP,,dc9600,0,0,A01022,141,
C02566,2,2,bus,1010,Keolis Seine et Oise Est,Poissy - Les Mureaux,f78f4b,0,0,A02541,Chanteloup-les-Vignes (Les Ouches) - Chambourcy (Collège André Derain),https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/858774e00934db50a1457eef7893ab11
C00016,14,14,bus,1025,Keolis Portes et Val de Brie,Pays Briard,f28e42,0,0,A00014,OZOIR-LA-FERRIERE (GARE SNCF)  - BRIE-COMTE-ROBERT (PARKING LYCEE BLAISE PASCAL),https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C00963,6802,6802,bus,1033,Transdev Cœur Essonne,Cœur d’Essonne,ff1400,ffffff,ffffff,A00828,BREUILLET (BREUILLET VILLAGE RER)  - BREUILLET (BREUILLET VILLAGE RER),
C01147,118,118,bus,100,RATP,,dc9600,0,0,A01002,118,
C01614,G,G,bus,1011,RD Mantois,Mantois,b6134c,ffffff,ffffff,A01465,MANTES LA JOLIE Sainte Anne - BUCHELAY Porte de Normandie,
C01287,323,323,bus,100,RATP,,d2d200,0,0,A01145,323,
C01174,150,150,bus,100,RATP,,ff82b4,0,0,A01030,150,
C00392,305,305,bus,1038,TISSE,Evry Centre Essonne,660000,ffffff,ffffff,A00349,CORBEIL-ESSONNES (Gare) - JUVISY-SUR-ORGE (Gare),
C00542,455,455,bus,1023,Francilité Saint-Quentin-en-Yvelines,Saint-Quentin-en-Yvelines,0090d7,ffffff,ffffff,A02680,MONTIGNY LE BRETONNEUX Collège Saint-François d’Assise – GUYANCOURT Bouviers,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C02096,02D,02D,bus,1020,Transdev Brie et 2 Morin,Brie et 2 Morin,e46c0a,0,0,A02622,VILLENEUVE-LE-COMTE (MAIRIE) - COULOMMIERS (CITE SCOLAIRE),
C02230,Fs,Fs,bus,1019,Transdev Marne-et-Ourcq,Meaux et Ourcq,c27ba0,ffffff,0,A02647,Nanteuil-lés-Meaux - Les Bruyères <> Nanteuil-lès-Meaux - Collège de la Dhuis,
C02446,17s,17s,bus,1037,Transdev Sud Yvelines,Centre et Sud Yvelines,f3a489,ffffff,ffffff,A02322,MAULES - VERSAILLES RIVE DROITE,
C01490,503,503,bus,1036,Francilité Express Ouest,Lignes Île-de-France Ouest,046fb6,ffffff,ffffff,A01330,NANTERRE (Plainchamp)  - MONTIGNY-LE-BRETONNEUX (St Quentin SNCF),
C01240,244,244,bus,100,RATP,,a0006e,ffffff,ffffff,A01098,244,
C02465,Soirée Écouen Ézanville,Soir,bus,1008,Transdev Valmy,Vallée de Montmorency,652c8f,ffffff,ffffff,A02506,Bus soirée Ecouen,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
