codeunique,nom_long,id_ref_ZdC,nom_ZdC,id_ref_ZdA,nom_ZdA,idrefliga,idrefligc,res_com,mode_,train,rer,metro,tramway,val,tertrain,terrer,termetro,tertram,terval,exploitant,idf,principal,x,y
1508,Jacqueline Auriol,70969,Jacqueline Auriol,47413,Jacqueline Auriol,A01192,C01390,TRAM 2,TRAM,0,0,0,1,0,0,0,0,0,0,RATP,1,1,643854.2271,6868139.8304
1315,Montempoivre,71612,Montempoivre,45214,Montempoivre,A01193,C01391,TRAM 3a,TRAM,0,0,0,1,0,0,0,0,0,0,RATP,1,1,656613.3872,6860141.8357
1316,Baron Le Roy,71570,Baron Leroy,58730,Baron Le Roy,A01193,C01391,TRAM 3a,TRAM,0,0,0,1,0,0,0,0,0,0,RATP,1,1,655473.1841,6859096.7621
1019,Hôtel de Ville de Bobigny,72477,Hôtel de Ville de Bobigny,43390,Hotel de Ville de Bobigny,A01191,C01389,TRAM 1,TRAM,0,0,0,1,0,0,0,0,0,0,RATP,1,0,659243.0732,6867536.6045
523,République Marx Dormoy,73354,République - Marx Dormoy,44626,République - Marx Dormoy,A01761,C01843,TRAM 4,TRAM,0,0,0,1,0,0,0,0,0,0,SNCF,1,0,665111.4018,6867508.4621
524,Léon Blum,73362,Léon Blum,43430,Léon Blum,A01761,C01843,TRAM 4,TRAM,0,0,0,1,0,0,0,0,0,0,SNCF,1,0,665716.5813,6867715.9845
117077,Beethoven - Concorde,70273,Beethoven - Concorde,478994,Beethoven - Concorde,A02371,C02317,TRAM 9,TRAM,0,0,0,1,0,0,0,0,0,0,KEOLIS,1,0,654569.2895,6855593.8252
117082,Watteau - Rondenay,70001,Watteau - Rondenay,479028,Watteau - Rondenay,A02371,C02317,TRAM 9,TRAM,0,0,0,1,0,0,0,0,0,0,KEOLIS,1,0,655642.7099,6853344.6782
117085,Rouget de Lisle,69846,Rouget de Lisle,479025,Rouget de Lisle,A02371,C02317,TRAM 9,TRAM,0,0,0,1,0,0,0,0,0,0,KEOLIS,1,0,656324.8404,6851698.9181
117086,Carle - Darthé,69781,Carle - Darthé,479011,Carle - Darthé,A02371,C02317,TRAM 9,TRAM,0,0,0,1,0,0,0,0,0,0,KEOLIS,1,0,656546.3224,6851173.0182
1502,Suzanne Lenglen,71042,Suzanne Lenglen,44917,Suzanne Lenglen,A01192,C01390,TRAM 2,TRAM,0,0,0,1,0,0,0,0,0,0,RATP,1,0,646917.1728,6859494.1291
1711,Petit Pierrefitte,72371,Petit Pierrefitte,46338,Petit Pierrefitte,A01760,C01684,TRAM 5,TRAM,0,0,0,1,0,0,0,0,0,0,RATP,1,1,652980.2023,6872715.5459
1506,Les Fauvelles,72099,Les Fauvelles,43729,Les Fauvelles,A01192,C01390,TRAM 2,TRAM,0,0,0,1,0,0,0,0,0,0,RATP,1,1,644252.6562,6867242.4932
1818,La Belle Épine,69762,La Belle Épine,47688,La Belle Épine,A02134,C01774,TRAM 7,TRAM,0,0,0,1,0,0,0,0,0,0,RATP,1,0,653566.3995,6850918.2304
465,Parc PX,73595,NC,52244,Parc Px,A01516,C00563,CDGVAL,VAL,0,0,0,0,1,0,0,0,0,0,AEROSAT,1,0,668589.1929,6878989.202
247,Éragny - Neuville,66484,Éragny - Neuville,43079,Éragny - Neuville,A01852,C01739, J,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,633451.093,6880136.9938
427,Épinay - Villetaneuse,65227,Épinay - Villetaneuse,43078,Épinay - Villetaneuse,A01849 / A02225,C01737 / C01999, H / TRAM 11,TRAIN / TRAM,1,0,0,1,0,0,0,0,0,0,SNCF,1,0,650823.4634,6873336.2748
490,Étigny-Veron,411456,Étigny - Véron,411455,Étigny - Véron,A02171,C01745,TER,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,0,0,721595.3722,6781952.1143
392,Courbevoie,73614,Courbevoie,43118,Courbevoie,A02176,C01740, L,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,644956.0,6866775.0
494,Joigny,411468,Joigny,411467,Joigny,A02171,C01745,TER,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,0,0,729347.1803,6763776.6395
472,Évreux,411366,Évreux Normandie,411365,Évreux Normandie,A02174,C01748,TER,TRAIN,1,0,0,0,0,1,0,0,0,0,SNCF,0,0,564673.761,6881428.1783
518,Chézy-sur-Marne,411382,Chézy-sur-Marne,411381,Chézy-sur-Marne,A01844,C01730, P,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,0,0,726666.398,6876946.2272
495,Laroche-Migennes,411480,Laroche - Migennes,411479,Laroche - Migennes,A02171,C01745,TER,TRAIN,1,0,0,0,0,1,0,0,0,0,SNCF,0,0,738278.9935,6762401.8687
105071,Bastille,463564,Bastille,42288,Bastille,A01534 / A01538 / A01541,C01371 / C01375 / C01378, 1 /  5 /  8,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,653679.5214,6861673.7301
109055,Saint-Augustin,73690,Saint-Augustin,44857,Saint-Augustin,A01542,C01379,9,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,650270.4119,6864041.4896
109083,Buzenval,479928,Buzenval / Avron,42410,Buzenval,A01542,C01379,9,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,656113.6911,6861492.2374
107033,Corentin Cariou,72031,Corentin Cariou,45598,Corentin Cariou,A01540,C01377,7,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,654700.3515,6866249.2071
108057,Chemin Vert,73622,Chemin Vert,45097,Chemin Vert,A01541,C01378,8,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,653642.2459,6862081.7145
109023,Billancourt,71034,Billancourt,42334,Billancourt,A01542,C01379,9,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,644022.0556,6859346.0848
1707,Alcide d'Orbigny,72414,Alcide d'Orbigny,46345,Alcide d'Orbigny,A01760,C01684,TRAM 5,TRAM,0,0,0,1,0,0,0,0,0,0,RATP,1,1,653381.3658,6874151.863
1314,Alexandra David-Néel,71632,Alexandra David-Néel / Porte de Saint-Mandé,45215,Alexandra David-Néel,A01193,C01391,TRAM 3a,TRAM,0,0,0,1,0,0,0,0,0,0,RATP,1,1,656707.2179,6860567.6741
117076,Germaine Tailleferre,70350,Germaine Tailleferre,479021,Germaine Tailleferre,A02371,C02317,TRAM 9,TRAM,0,0,0,1,0,0,0,0,0,0,KEOLIS,1,0,654300.0286,6856099.0993
1614,Épinettes - Pouchet,72052,Epinettes - Pouchet,45478,Epinettes - Pouchet,A01757,C01679,TRAM 3b,TRAM,0,0,0,1,0,0,0,0,0,0,RATP,1,0,650505.3291,6866605.3147
117101,Allée Royale,64049,Allée Royale,480935,Allée Royale,A02373,C02344,TRAM 13,TRAM,0,0,0,1,0,0,0,0,0,0,Transkeo,1,0,632358.9739,6857681.012
117100,Bailly,480951,Bailly,480933,Bailly,A02373,C02344,TRAM 13,TRAM,0,0,0,1,0,0,0,0,0,0,Transkeo,1,0,632064.5395,6860064.8921
1830,Jardin Parisien,70163,Jardin Parisien,486811,Jardin Parisien,A02527,C02528,TRAM 10,TRAM,0,0,0,1,0,0,0,0,1,0,RD Bièvre,1,0,645088.1245,6854882.1323
1822,Théâtre La Piscine,73764,Théâtre La Piscine,486829,Théâtre La Piscine,A02527,C02528,TRAM 10,TRAM,0,0,0,1,0,0,0,0,0,0,RD Bièvre,1,0,646544.8377,6851767.2753
163,Chilly-Mazarin,62939,Chilly-Mazarin,486893,Chilly-Mazarin,A02708,C02529,TRAM 12,TRAM,0,0,0,1,0,0,0,0,0,0,SNCF,1,0,649062.405995,6844727.29894
1832,Ferme Neuve,60776,Ferme Neuve,486971,Ferme Neuve,A02708,C02529,TRAM 12,TRAM,0,0,0,1,0,0,0,0,0,0,SNCF,1,0,654580.8612,6839283.476
1840,Porte Dauphine,474152,Porte Dauphine,490877,Porte Dauphine (Avenue Foch),A01757,C01679,TRAM 3b,TRAM,0,0,0,1,0,0,0,0,1,0,RATP,1,0,646791.32851,6863594.76969
10,Roissy-en-Brie,67839,Roissy-en-Brie,46568,Roissy-en-Brie,A01843,C01729, E,RER,1,1,0,0,0,0,0,0,0,0,SNCF,1,0,674317.7148,6855120.5285
21,Nanteuil-Saâcy,69072,Nanteuil - Saâcy,47482,Nanteuil - Saâcy,A01844,C01730, P,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,1,716054.7816,6874920.5334
194,Angerville,59403,Angerville,47917,Angerville,A02179,C01857,TER,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,626121.8465,6801685.3319
206,Essonnes-Robinson,422776,Essonnes Robinson,45759,Essonnes Robinson,A01842,C01728, D,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,660368.7154,6834063.3879
215,Maisse,59470,Maisse,43156,Maisse,A01842,C01728, D,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,655097.3351,6810544.2368
116,Limay,65788,Limay,43151,Limay,A01852,C01739, J,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,608349.1982,6876753.3002
118,Gargenville,65732,Gargenville,43129,Gargenville,A01852,C01739, J,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,612820.4042,6876551.4331
120,Meulan-Hardricourt,66321,Meulan - Hardricourt,46897,Meulan - Hardricourt,A01852,C01739, J,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,619652.9213,6878986.2993
123,Triel-sur-Seine,463843,Triel-sur-Seine,46926,Triel-sur-Seine,A01852,C01739, J,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,627237.6029,6876139.7455
126,Maurecourt,65827,Maurecourt,43160,Maurecourt,A01852,C01739, J,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,631170.9441,6876710.6959
233,Pont-Petit,66952,Pont Petit,47595,Pont Petit,A01849,C01737, H,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,636529.1789,6884936.8507
72,Chaville-Vélizy,69487,Chaville - Vélizy,47883,Chaville - Vélizy,A01840,C01727, C,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,640039.5421,6855826.5977
78,Vauboyen,63454,Vauboyen,43215,Gare de Vauboyen,A01840,C01727, C,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,640678.401,6851273.0425
87,Plaisir-les-Clayes,64195,Plaisir - Les Clayes,43181,Plaisir - Les Clayes,A01847,C01736, N,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,623657.914,6859491.9671
89,Villiers-Neauphle Pontchartrain,424296,Villiers - Neauphle - Pontchartrain,46847,Villiers - Neauphle - Pontchartrain,A01847,C01736, N,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,617575.8221,6857837.0647
94,Nézel-Aulnay,64945,Nézel - Aulnay,47944,Nézel - Aulnay,A01847,C01736, N,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,615061.5357,6871595.5075
43,Combs-la-Ville - Quincy,62558,Combs-la-Ville - Quincy,45771,Combs-la-Ville - Quincy,A01842,C01728, D,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,666681.8716,6840955.2066
44,Lieusaint-Moissy,62412,Lieusaint - Moissy,47669,Lieusaint - Moissy,A01842,C01728, D,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,668280.5752,6836551.8559
46,Ponthierry-Pringy,61976,Ponthierry - Pringy,45812,Ponthierry - Pringy,A01842,C01728, D,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,666361.1283,6826197.5485
59,Fontainebleau Avon,61579,Fontainebleau - Avon,47911,Fontainebleau - Avon,A01845,C01731, R,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,1,679774.7573,6812933.8975
63,Montereau,61414,Montereau,47910,Montereau,A01845,C01731, R,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,1,695744.1222,6808804.3563
64,La Grande Paroisse,61412,La Grande-Paroisse,43144,La Grande-Paroisse,A01845,C01731, R,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,692327.4185,6808709.5857
67,Montigny-sur-Loing,61327,Montigny-sur-Loing,47125,Montigny-sur-Loing,A01845,C01731, R,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,680584.3807,6804050.6644
143,Marly-le-Roi,64405,Marly-le-Roi,43248,Marly-le-Roi,A02176,C01740, L,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,633730.7704,6863876.5656
154,Ris-Orangis,60839,Ris-Orangis,47948,Ris-Orangis,A01842,C01728, D,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,656929.2002,6840026.8223
